district	Indicator 1 Definition	Indicator 2	province	Continuous 1	Geometry	Latitude (generated)	Longitude (generated)
Sabari	Number of persons excluding nomadic population (according to official estimates)		Khost	73,549.0	Polygon	33.492199272	69.952329473
Rustaq	Number of persons excluding nomadic population (according to official estimates)		Takhar	170,572.0	Polygon	37.110427511	69.836849018
Rukha	Number of persons excluding nomadic population (according to official estimates)		Panjsher	23,784.0	Polygon	35.245062233	69.484266088
Roy-e-Doab	Number of persons excluding nomadic population (according to official estimates)		Samangan	47,325.0	Polygon	35.611123457	67.768009684
Rodat	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	71,719.0	Polygon	34.256662326	70.550780885
Reg(khannishen)	Number of persons excluding nomadic population (according to official estimates)		Hilmand	27,322.0	Polygon	30.827185068	63.462323871
Reg	Number of persons excluding nomadic population (according to official estimates)		Kandahar	9,270.0	Polygon	30.162088394	65.221068809
Rashedan	Number of persons excluding nomadic population (according to official estimates)		Ghazni	18,662.0	Polygon	33.705739400	68.192804620
Raghestan	Number of persons excluding nomadic population (according to official estimates)		Badakhshan	41,104.0	Polygon	37.679908119	70.640165060
Qurghan	Number of persons excluding nomadic population (according to official estimates)		Faryab	48,911.0	Polygon	37.030481622	64.979907615
Qoshtepa	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	24,394.0	Polygon	36.259352287	65.383909406
Qaysar	Number of persons excluding nomadic population (according to official estimates)		Faryab	147,829.0	Polygon	35.659880451	64.199613415
Qarqen	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	25,739.0	Polygon	37.299548336	66.032927112
Qarghayi	Number of persons excluding nomadic population (according to official estimates)		Laghman	101,724.0	Polygon	34.543503637	70.214522919
Qaramqol	Number of persons excluding nomadic population (according to official estimates)		Faryab	20,370.0	Polygon	36.779610610	64.974494952
Qarabagh	Number of persons excluding nomadic population (according to official estimates)		Kabul	79,282.0	Polygon	34.839495734	69.166569035
Qarabagh	Number of persons excluding nomadic population (according to official estimates)		Ghazni	148,195.0	Polygon	33.221892166	67.999784276
Qalat	Number of persons excluding nomadic population (according to official estimates)		Zabul	36,951.0	Polygon	32.187365562	66.953465011
Qalandar	Number of persons excluding nomadic population (according to official estimates)		Khost	10,612.0	Polygon	33.488231124	69.634336081
Qala-ye-Kah	Number of persons excluding nomadic population (according to official estimates)		Farah	31,956.0	Polygon	32.497441186	61.249601272
Qala-e-Zal	Number of persons excluding nomadic population (according to official estimates)		Kunduz	72,621.0	Polygon	36.869393946	68.346936197
Qala-e-Naw	Number of persons excluding nomadic population (according to official estimates)		Badghes	68,869.0	Polygon	34.861003151	63.130680733
Qades	Number of persons excluding nomadic population (according to official estimates)		Badghes	94,406.0	Polygon	34.798054078	63.578056599
Pushtrod	Number of persons excluding nomadic population (according to official estimates)		Farah	42,202.0	Polygon	32.514573310	62.125107074
Purchaman	Number of persons excluding nomadic population (according to official estimates)		Farah	55,497.0	Polygon	33.184444562	63.723166909
Pul-e-Hisar	Number of persons excluding nomadic population (according to official estimates)		Baghlan	28,663.0	Polygon	35.586620287	69.535737123
Pul-e- khumri	Number of persons excluding nomadic population (according to official estimates)		Baghlan	220,311.0	Polygon	36.011945732	68.636293340
Pul-e- Alam	Number of persons excluding nomadic population (according to official estimates)		Logar	109,848.0	Polygon	33.991566199	69.046969093
Patoo	Number of persons excluding nomadic population (according to official estimates)		Daykundi	69,036.0	Polygon	33.381035660	66.022427625
Pashtonzarghon	Number of persons excluding nomadic population (according to official estimates)		Hirat	104,042.0	Polygon	34.132019505	62.728806156
Pashtonkot	Number of persons excluding nomadic population (according to official estimates)		Faryab	195,886.0	Polygon	35.838938496	64.782671727
Pasaband	Number of persons excluding nomadic population (according to official estimates)		Ghor	98,431.0	Polygon	33.687136736	65.132795081
Paryan	Number of persons excluding nomadic population (according to official estimates)		Panjsher	15,368.0	Polygon	35.678605075	70.063764252
Paron	Number of persons excluding nomadic population (according to official estimates)		Noristan	14,027.0	Polygon	35.421264223	70.787778830
Panjwayi	Number of persons excluding nomadic population (according to official estimates)		Kandahar	90,381.0	Polygon	31.111277170	65.198619287
Panjab	Number of persons excluding nomadic population (according to official estimates)		Bamyan	70,744.0	Polygon	34.386889628	66.930672889
Paghman	Number of persons excluding nomadic population (according to official estimates)		Kabul	126,625.0	Polygon	34.541028093	68.946488000
Pacheragam	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	44,154.0	Polygon	34.077160931	70.302234748
Onaba(Anawa)	Number of persons excluding nomadic population (according to official estimates)		Panjsher	18,662.0	Polygon	35.211772636	69.401659551
Omna	Number of persons excluding nomadic population (according to official estimates)		Pakteka	12,563.0	Polygon	32.917358601	68.810712848
Obi	Number of persons excluding nomadic population (according to official estimates)		Hirat	78,714.0	Polygon	34.380977115	63.292025557
Norgiram	Number of persons excluding nomadic population (according to official estimates)		Noristan	33,542.0	Polygon	35.073994912	70.469496047
Norgal	Number of persons excluding nomadic population (according to official estimates)		Kunarha	32,810.0	Polygon	34.700584462	70.728238932
Nirkh	Number of persons excluding nomadic population (according to official estimates)		Maydanwardag	59,156.0	Polygon	34.326460714	68.771485018
Nijrab	Number of persons excluding nomadic population (according to official estimates)		Kapisa	116,604.0	Polygon	35.041318168	69.632484543
Nesh	Number of persons excluding nomadic population (according to official estimates)		Kandahar	13,904.0	Polygon	32.375531971	65.707706942
Neli	Number of persons excluding nomadic population (according to official estimates)		Daykundi	42,324.0	Polygon	33.741084657	66.078538477
Neka‌‎‌‎‌‎‌‎	Number of persons excluding nomadic population (according to official estimates)		Pakteka	12,929.0	Polygon	33.217785905	69.227755923
Nazyan	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	15,246.0	Polygon	34.055839045	70.799090718
Nawzad	Number of persons excluding nomadic population (according to official estimates)		Hilmand	52,814.0	Polygon	32.615930864	64.486159545
Nawur	Number of persons excluding nomadic population (according to official estimates)		Ghazni	98,187.0	Polygon	33.799362036	67.787358131
Nawbahar	Number of persons excluding nomadic population (according to official estimates)		Zabul	19,516.0	Polygon	32.199901753	67.585131355
Nawa-e-Barakzaiy	Number of persons excluding nomadic population (according to official estimates)		Hilmand	96,479.0	Polygon	31.355970719	64.217748897
Nawa	Number of persons excluding nomadic population (according to official estimates)		Ghazni	30,859.0	Polygon	32.306336257	67.926739510
Nari	Number of persons excluding nomadic population (according to official estimates)		Kunarha	28,664.0	Polygon	35.177373262	71.508298475
Narang	Number of persons excluding nomadic population (according to official estimates)		Kunarha	31,346.0	Polygon	34.817816315	71.019069053
Namakab	Number of persons excluding nomadic population (according to official estimates)		Takhar	12,685.0	Polygon	36.431875398	69.694929621
Nahren	Number of persons excluding nomadic population (according to official estimates)		Baghlan	71,883.0	Polygon	36.004002426	69.020081194
Nahr-e-Saraj	Number of persons excluding nomadic population (according to official estimates)		Hilmand	122,067.0	Polygon	31.894542133	64.596217768
Nahr-e- Shahi	Number of persons excluding nomadic population (according to official estimates)		Balkh	46,593.0	Polygon	36.827572450	67.233530086
Nadirshahkot	Number of persons excluding nomadic population (according to official estimates)		Khost	33,054.0	Polygon	33.386827127	69.687168617
Nad-e-Ali	Number of persons excluding nomadic population (according to official estimates)		Hilmand	94,649.0	Polygon	31.598961083	63.835033884
Murghab	Number of persons excluding nomadic population (according to official estimates)		Badghes	100,870.0	Polygon	35.496473140	63.489880879
Muqur	Number of persons excluding nomadic population (according to official estimates)		Ghazni	52,204.0	Polygon	32.925360053	67.796248965
Muqur	Number of persons excluding nomadic population (according to official estimates)		Badghes	24,638.0	Polygon	35.108165906	63.260315052
Muhmanddara	Number of persons excluding nomadic population (according to official estimates)		Nangarhar	46,593.0	Polygon	34.225081340	70.971157984
Muhammadagha	Number of persons excluding nomadic population (according to official estimates)		Logar	78,306.0	Polygon	34.201217657	69.194121594
Mosaqala	Number of persons excluding nomadic population (according to official estimates)		Hilmand	61,352.0	Polygon	32.401421753	64.823719037
Mosakhel	Number of persons excluding nomadic population (according to official estimates)		Khost	42,568.0	Polygon	33.539478290	69.683320175
Mosahi	Number of persons excluding nomadic population (according to official estimates)		Kabul	24,272.0	Polygon	34.374201733	69.217468482
Miyanshen	Number of persons excluding nomadic population (according to official estimates)		Kandahar	15,612.0	Polygon	32.398281428	66.324313035
Mirbachakot	Number of persons excluding nomadic population (according to official estimates)		Kabul	54,278.0	Polygon	34.739821496	69.107804239
Mingajek	Number of persons excluding nomadic population (according to official estimates)		Jawzjan	44,520.0	Polygon	37.048167050	65.988830780
Mihtarlam	Number of persons excluding nomadic population (according to official estimates)		Laghman	134,576.0	Polygon	34.666954094	70.071717675
Mezan	Number of persons excluding nomadic population (according to official estimates)		Zabul	14,270.0	Polygon	32.183380531	66.500889197
