event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
AFG68168,"24 July 2024",2024,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Hazara Ethnic Group (Afghanistan)",Civilians,"State forces-Civilians",,4,"Caucasus and Central Asia",Afghanistan,Urozgan,"Khas Urozgan",,Shashpar,32.9476,66.6229,1,"Etilaat e Roz",National,"On 24 July 2024, around 55 Hazara civilians were arrested by Taliban in the Shashpar village of Khas Urozgan district, Urozgan. 25 were kept in prison in relation to the killing of a Hazara imam (coded separately) while the rest were released.",0,,1731510682
AFG68152,"23 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"National Resistance Front of Afghanistan",Other,"On 23 July 2024, three Taliban members were killed and two were wounded following an attack by National Resistance Front militants on their vehicle during a patrol in PD15 of Kabul city. No casualties from NRF.",3,,1722376556
AFG68157,"23 July 2024",2024,2,"Political violence","Violence against civilians",Attack,"Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Former Police Forces of Afghanistan (2021-) National Directorate of Security",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Khost,Manduzay,,"Haidar Khel",33.3259,69.8555,1,"Hasht-e Subh",National,"Around 23 July 2024 (as reported), one former NDS member was shot and killed outside his home by two Taliban members in the Haidar Khel village of Manduzay district, Khost.",1,,1722376556
AFG68158,"23 July 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Pakistan (2022-)",,"External/Other forces","Civilians (Afghanistan)",,Civilians,"External/Other forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Khost,Tirzayee,,"Zakar Khel",33.2594,70.2053,1,"Hasht-e Subh",National,"On 23 July 2024, Pakistani forces shelled Tirzayee (Alisher) district, Khost. Unclear if there were casualties but several families were displaced in the Zakar Khel village. No further information.",0,,1722376556
AFG68140,"23 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Baghlan,Dushi,,Dushi,35.6216,68.6948,2,"Etilaat e Roz; Hasht-e Subh; National Resistance Front of Afghanistan",Other-National,"On 23 July 2024, two Taliban members including a commander were killed and two were wounded following an attack by National Resistance Front militants on one of the units of the third battalion, fourth brigade of the Omari Corps in Dushi district, Baghlan. No casualties from NRF.",2,,1722974430
AFG68151,"22 July 2024",2024,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Afghanistan Freedom Front",,"Rebel group","Police Forces of Afghanistan (2021-) General Directorate of Intelligence",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kabul,Kabul,,Kabul,34.5167,69.1833,1,"Etilaat e Roz; Hasht-e Subh; Twitter","New media-National","On 22 July 2024, Taliban intelligence members were killed and one was wounded following an attack by Afghanistan Freedom Front militants on their convoy in the Karte Sakhi area of Kabul city. Attack was likely conducted using remote explosives, as shown in the video footage from AFF. Fatalities coded as 3 (AFF reported 4).",3,,1722376556
AFG68159,"22 July 2024",2024,1,"Strategic developments","Strategic developments",Other,"Unidentified Armed Group (Afghanistan)",,"Political militia","Civilians (Afghanistan)",,Civilians,"Political militia-Civilians",,4,"Caucasus and Central Asia",Afghanistan,Kunar,Nari,,"Badir Mashal",35.1607,71.5428,1,"Afghan Islamic Press News Agency; Hasht-e Subh",National,"Explosive remnants of war: On 22 July 2024, one person was killed and four were wounded when a bomb, remnants of war, exploded in their house in the Badir Mashal area of Nari district, Kunar. The bomb was found and taken home by the children of the family.",1,,1722376556
AFG68156,"22 July 2024",2024,1,"Political violence",Battles,"Armed clash","National Resistance Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Kapisa,Nijrab,,Nijrab,34.9789,69.5724,2,"National Resistance Front of Afghanistan",Other,"On 22 July 2024, two Taliban members were killed and one was wounded following an attack by National Resistance Front militants on their checkpoint in Nijrab district, Kapisa. No casualties from NRF.",2,,1731609837
AFG69220,"22 July 2024",2024,2,"Political violence","Violence against civilians","Abduction/forced disappearance","Military Forces of Afghanistan (2021-)",,"State forces","Civilians (Afghanistan)","Labor Group (Afghanistan)",Civilians,"State forces-Civilians","Civilian targeting",4,"Caucasus and Central Asia",Afghanistan,Herat,Herat,,Herat,34.3482,62.1997,3,"Undisclosed Source","Local partner-Other","Around 22 July 2024 (as reported), a car dealer who sold cars to Taliban members was arrested by Taliban in Herat. His whereabouts remained unknown.",0,,1738102144
AFG68141,"21 July 2024",2024,1,"Political violence",Battles,"Armed clash","Afghanistan Freedom Front",,"Rebel group","Military Forces of Afghanistan (2021-)",,"State forces","State forces-Rebel group",,4,"Caucasus and Central Asia",Afghanistan,Baghlan,Pul-i-Khumri,,Pul-i-Khumri,35.9446,68.7151,1,"Etilaat e Roz; Hasht-e Subh; Twitter","New media-National","On 21 July 2024, two Taliban members were killed and one was wounded following an attack by Afghanistan Freedom Front militants in Pul-i-Khumri city, Baghlan. The target was a commander, the head of transportation of Baghlan. Unclear if he was amongst the casualties.",2,,1722376556
